source_battery_id,cycle_number,timestamp,ambient_temperature,voltage_mean,voltage_std,voltage_min,voltage_max,current_mean,current_std,current_load_mean,temperature_mean,temperature_std,temperature_rise_rate,internal_resistance,capacity
KAGGLE_000,18,2026-01-01T00:18:00,28.268,3.73,0.054,3.4414,4.0882,-1.7398,0.1378,-1.6616,23.8979,1.6792,1.0308,0.02471,1.968
KAGGLE_000,19,2026-01-01T00:19:00,29.068,3.7474,0.054,3.4701,4.0869,-1.8158,0.1172,-1.724,23.3562,1.4472,1.0525,0.01676,1.95991
KAGGLE_000,20,2026-01-01T00:20:00,24.352,3.742,0.0591,3.4674,4.0819,-1.7658,0.1076,-1.6638,26.1285,1.4152,0.6448,0.01695,1.96101
KAGGLE_000,21,2026-01-01T00:21:00,26.001,3.7495,0.0557,3.4677,4.1118,-1.8146,0.1058,-1.721,24.0472,1.5471,1.0166,0.02054,1.96486
KAGGLE_000,22,2026-01-01T00:22:00,24.582,3.651,0.0527,3.4323,4.1393,-1.7701,0.1285,-1.6792,25.9444,1.4025,0.2858,0.01588,1.95013
KAGGLE_000,23,2026-01-01T00:23:00,22.348,3.7408,0.0699,3.4939,4.1667,-1.7843,0.1299,-1.7454,24.0146,1.5479,0.4723,0.02092,1.92466
KAGGLE_000,24,2026-01-01T00:24:00,29.681,3.706,0.0616,3.426,4.1204,-1.7311,0.1351,-1.7368,24.2693,1.5122,0.3276,0.01675,1.92256
KAGGLE_000,25,2026-01-01T00:25:00,21.279,3.7372,0.0667,3.4748,4.1626,-1.8347,0.1351,-1.6887,26.0463,1.4055,0.4817,0.02839,1.89858
KAGGLE_000,26,2026-01-01T00:26:00,29.946,3.7264,0.053,3.4853,4.1357,-1.7523,0.1021,-1.7351,23.9194,1.3143,0.4342,0.02559,1.9105
KAGGLE_000,27,2026-01-01T00:27:00,29.952,3.7427,0.0508,3.4357,4.1409,-1.8024,0.1197,-1.6654,26.4675,1.3495,0.2842,0.02802,1.9134
KAGGLE_000,28,2026-01-01T00:28:00,21.683,3.7009,0.0555,3.4891,4.1286,-1.7866,0.1389,-1.6974,25.2832,1.4666,0.2692,0.02652,1.89371
KAGGLE_000,29,2026-01-01T00:29:00,28.874,3.6526,0.0636,3.4681,4.1094,-1.7855,0.138,-1.6663,23.6151,1.3324,0.9476,0.02489,1.91915
KAGGLE_000,30,2026-01-01T00:30:00,29.552,3.7094,0.0501,3.497,4.1356,-1.7279,0.113,-1.6768,25.9373,1.683,0.7122,0.01817,1.90146
KAGGLE_000,31,2026-01-01T00:31:00,26.436,3.6823,0.0511,3.4071,4.1652,-1.819,0.116,-1.7322,26.8602,1.6462,0.2803,0.02779,1.87282
KAGGLE_000,32,2026-01-01T00:32:00,27.795,3.6785,0.0651,3.4654,4.0821,-1.8015,0.1173,-1.6694,24.2404,1.574,0.3182,0.02498,1.87538
KAGGLE_000,33,2026-01-01T00:33:00,25.127,3.699,0.0677,3.4476,4.1263,-1.8123,0.1303,-1.6689,25.4555,1.4736,0.5834,0.01561,1.91123
KAGGLE_000,34,2026-01-01T00:34:00,24.635,3.6724,0.0637,3.4155,4.1195,-1.7793,0.121,-1.7209,24.7494,1.6629,0.6299,0.01723,1.87753
KAGGLE_000,35,2026-01-01T00:35:00,29.029,3.7342,0.0605,3.4295,4.0748,-1.8678,0.1018,-1.7392,24.6997,1.3378,0.7948,0.02353,1.86042
KAGGLE_000,36,2026-01-01T00:36:00,22.549,3.6582,0.0601,3.4114,4.1362,-1.8513,0.1073,-1.7107,23.3332,1.6507,0.4679,0.02381,1.86369
KAGGLE_000,37,2026-01-01T00:37:00,26.703,3.7124,0.0553,3.4967,4.1571,-1.85,0.1074,-1.6753,25.4162,1.6486,0.2957,0.02302,1.87153
KAGGLE_000,38,2026-01-01T00:38:00,21.167,3.6672,0.0595,3.4692,4.1569,-1.7255,0.1241,-1.7013,25.474,1.6896,0.5247,0.02511,1.84033
KAGGLE_000,39,2026-01-01T00:39:00,23.95,3.6803,0.0525,3.4014,4.0812,-1.8775,0.1388,-1.6641,23.8369,1.5594,0.7848,0.02154,1.87716
KAGGLE_000,40,2026-01-01T00:40:00,27.9,3.6691,0.056,3.4463,4.1174,-1.8765,0.1066,-1.7348,25.8104,1.6855,0.6243,0.0279,1.86908
KAGGLE_000,41,2026-01-01T00:41:00,22.013,3.7069,0.0667,3.4051,4.0708,-1.7791,0.1285,-1.6521,26.3945,1.5948,0.7363,0.02331,1.86242
KAGGLE_000,42,2026-01-01T00:42:00,24.875,3.6986,0.0618,3.4611,4.1379,-1.7493,0.1195,-1.6786,25.1132,1.4688,0.4843,0.01595,1.84054
KAGGLE_000,43,2026-01-01T00:43:00,24.171,3.6973,0.0599,3.4939,4.1047,-1.7684,0.1008,-1.7212,23.7688,1.4375,0.4089,0.0183,1.87247
KAGGLE_000,44,2026-01-01T00:44:00,23.392,3.7102,0.0668,3.4657,4.0831,-1.8331,0.1285,-1.654,26.3323,1.5692,0.8611,0.02694,1.86926
KAGGLE_000,45,2026-01-01T00:45:00,28.445,3.7122,0.0556,3.4749,4.1367,-1.8593,0.108,-1.6894,23.4036,1.4664,1.0944,0.01955,1.85852
KAGGLE_000,46,2026-01-01T00:46:00,20.47,3.6518,0.0676,3.4357,4.0859,-1.7475,0.1358,-1.7468,23.2547,1.4722,0.7558,0.01681,1.81893
KAGGLE_000,47,2026-01-01T00:47:00,22.578,3.684,0.0571,3.4047,4.1578,-1.8372,0.106,-1.681,25.0615,1.5678,0.8358,0.0289,1.81565
KAGGLE_000,48,2026-01-01T00:48:00,24.571,3.7342,0.0522,3.4106,4.1311,-1.7549,0.1379,-1.6676,23.1679,1.3422,0.7669,0.02806,1.82432
KAGGLE_000,49,2026-01-01T00:49:00,21.57,3.6792,0.0588,3.4506,4.1433,-1.8641,0.1259,-1.7165,23.5511,1.6394,0.5952,0.02124,1.84857
KAGGLE_000,50,2026-01-01T00:50:00,22.453,3.7309,0.0568,3.4505,4.0785,-1.8204,0.1302,-1.7139,25.66,1.3606,0.8782,0.02133,1.83592
KAGGLE_000,51,2026-01-01T00:51:00,28.018,3.6913,0.0582,3.4459,4.1552,-1.7529,0.1145,-1.747,23.5823,1.304,0.9256,0.02915,1.79935
KAGGLE_000,52,2026-01-01T00:52:00,23.148,3.7482,0.0533,3.4061,4.1459,-1.7744,0.1257,-1.6597,23.2312,1.5526,0.842,0.02491,1.78663
KAGGLE_000,53,2026-01-01T00:53:00,22.957,3.6902,0.0636,3.4554,4.1004,-1.7612,0.1364,-1.7492,24.1191,1.5111,1.0284,0.0255,1.80863
KAGGLE_000,54,2026-01-01T00:54:00,22.051,3.7044,0.0658,3.4652,4.1397,-1.738,0.1313,-1.7095,23.7892,1.4206,0.2333,0.02002,1.80012
KAGGLE_000,55,2026-01-01T00:55:00,27.401,3.6626,0.0698,3.4284,4.0793,-1.7917,0.1209,-1.6743,23.6401,1.3112,0.9169,0.02389,1.81277
KAGGLE_000,56,2026-01-01T00:56:00,27.742,3.7227,0.0697,3.411,4.076,-1.8203,0.1251,-1.7146,23.1909,1.5604,0.3123,0.01947,1.77967
KAGGLE_000,57,2026-01-01T00:57:00,24.531,3.7483,0.0661,3.4989,4.1266,-1.7369,0.1251,-1.6967,25.3822,1.4401,0.4561,0.02677,1.80533
KAGGLE_000,58,2026-01-01T00:58:00,26.724,3.7214,0.0604,3.4248,4.1028,-1.7868,0.1329,-1.7139,23.392,1.5847,0.9456,0.01623,1.79996
KAGGLE_000,59,2026-01-01T00:59:00,28.885,3.6976,0.0589,3.4369,4.1226,-1.7859,0.1208,-1.7105,24.0548,1.4995,0.5811,0.0216,1.75675
KAGGLE_000,60,2026-01-01T00:00:00,24.895,3.7473,0.0665,3.4144,4.0827,-1.7662,0.1052,-1.6795,26.4531,1.3472,0.3914,0.0221,1.80484
KAGGLE_000,61,2026-01-01T00:01:00,29.441,3.6869,0.069,3.4602,4.1109,-1.8607,0.1229,-1.746,23.6132,1.4486,1.0919,0.01955,1.78974
KAGGLE_000,62,2026-01-01T00:02:00,27.912,3.6642,0.0618,3.4049,4.1594,-1.7378,0.1086,-1.6681,24.9552,1.3489,0.5138,0.02806,1.77008
KAGGLE_000,63,2026-01-01T00:03:00,25.731,3.7066,0.068,3.4781,4.1175,-1.7648,0.1242,-1.6738,25.0191,1.4844,0.6049,0.02174,1.76197
KAGGLE_000,64,2026-01-01T00:04:00,23.252,3.73,0.0633,3.441,4.0933,-1.8167,0.1216,-1.6542,26.5602,1.5944,0.7813,0.02799,1.7849
KAGGLE_000,65,2026-01-01T00:05:00,25.72,3.7296,0.0641,3.4561,4.0824,-1.7905,0.1077,-1.6881,25.3074,1.3211,0.7132,0.01784,1.77135
KAGGLE_000,66,2026-01-01T00:06:00,28.969,3.662,0.0687,3.418,4.0719,-1.7541,0.1098,-1.6794,26.5506,1.4777,0.9262,0.0241,1.75349
KAGGLE_000,67,2026-01-01T00:07:00,20.45,3.7362,0.0505,3.4437,4.1115,-1.7425,0.1127,-1.7243,23.4586,1.3397,0.3513,0.01716,1.74507
KAGGLE_000,68,2026-01-01T00:08:00,20.896,3.6807,0.0581,3.4169,4.1314,-1.828,0.1011,-1.7441,24.5598,1.428,0.5715,0.01986,1.73233
KAGGLE_000,69,2026-01-01T00:09:00,28.277,3.6621,0.0541,3.4752,4.1286,-1.8011,0.1301,-1.7115,23.4603,1.3243,0.6183,0.02111,1.73557
KAGGLE_000,70,2026-01-01T00:10:00,24.075,3.6734,0.0677,3.4269,4.1663,-1.772,0.1099,-1.6945,26.1409,1.4218,0.5661,0.01626,1.73814
KAGGLE_000,71,2026-01-01T00:11:00,22.035,3.7468,0.0575,3.4985,4.1482,-1.794,0.117,-1.6589,24.807,1.3004,0.6182,0.02744,1.7433
KAGGLE_000,72,2026-01-01T00:12:00,29.721,3.6501,0.0687,3.4482,4.1298,-1.7457,0.1152,-1.7149,25.5288,1.5341,0.6593,0.01568,1.71858
KAGGLE_000,73,2026-01-01T00:13:00,25.631,3.6801,0.0579,3.4123,4.084,-1.791,0.1112,-1.7068,25.4418,1.683,0.4865,0.02523,1.74165
KAGGLE_000,74,2026-01-01T00:14:00,22.614,3.7253,0.0591,3.4246,4.1683,-1.8253,0.1184,-1.69,23.0635,1.5767,0.7818,0.01503,1.71394
KAGGLE_000,75,2026-01-01T00:15:00,29.014,3.7173,0.0583,3.4895,4.1403,-1.758,0.1215,-1.6713,25.5964,1.331,0.2279,0.02748,1.71807
KAGGLE_000,76,2026-01-01T00:16:00,26.722,3.6853,0.0663,3.4827,4.1058,-1.8517,0.1307,-1.6803,23.0337,1.4851,1.0426,0.02167,1.72588
KAGGLE_000,77,2026-01-01T00:17:00,20.198,3.6781,0.0684,3.4358,4.079,-1.7818,0.1121,-1.6782,23.937,1.4975,0.5267,0.01921,1.69499
KAGGLE_000,78,2026-01-01T00:18:00,27.07,3.6709,0.0539,3.4821,4.1096,-1.7408,0.1228,-1.7006,25.2071,1.5639,0.7091,0.02524,1.73209
KAGGLE_000,79,2026-01-01T00:19:00,20.654,3.6628,0.0513,3.426,4.127,-1.8435,0.1209,-1.6718,23.7674,1.5712,1.0928,0.02539,1.70786
KAGGLE_000,80,2026-01-01T00:20:00,22.529,3.706,0.0591,3.4938,4.1341,-1.7291,0.1021,-1.6561,24.7302,1.698,0.4466,0.0252,1.70207
KAGGLE_001,1,2026-01-01T00:01:00,28.838,3.6725,0.0556,3.442,4.1149,-1.8792,0.1078,-1.7418,25.2873,1.3101,0.8637,0.02967,2.05263
KAGGLE_001,2,2026-01-01T00:02:00,20.744,3.675,0.0533,3.4311,4.1326,-1.8645,0.1192,-1.6692,25.3701,1.5505,0.5009,0.01876,2.02964
KAGGLE_001,3,2026-01-01T00:03:00,22.384,3.6841,0.0511,3.4334,4.1494,-1.729,0.131,-1.688,26.0564,1.5501,0.721,0.01628,2.00781
KAGGLE_001,4,2026-01-01T00:04:00,20.333,3.6813,0.067,3.4065,4.0828,-1.7329,0.1177,-1.7199,25.5047,1.3263,0.8098,0.02339,2.00211
KAGGLE_001,5,2026-01-01T00:05:00,23.815,3.6596,0.065,3.4233,4.13,-1.7744,0.1004,-1.7116,26.1807,1.652,0.7573,0.02009,2.01329
KAGGLE_001,6,2026-01-01T00:06:00,27.829,3.6954,0.0566,3.4192,4.0803,-1.7848,0.1027,-1.6711,23.7745,1.5293,0.7736,0.01884,2.04899
KAGGLE_001,7,2026-01-01T00:07:00,27.246,3.6945,0.0549,3.4797,4.076,-1.8301,0.1174,-1.654,26.0175,1.4245,0.9967,0.02663,2.01514
KAGGLE_001,8,2026-01-01T00:08:00,23.087,3.6843,0.0574,3.4008,4.1286,-1.7715,0.1023,-1.6993,26.3407,1.6435,0.5799,0.01793,1.99587
KAGGLE_001,9,2026-01-01T00:09:00,29.085,3.7285,0.0568,3.4668,4.1395,-1.7229,0.124,-1.7169,25.3136,1.6852,0.7545,0.02128,1.99619
KAGGLE_001,10,2026-01-01T00:10:00,24.543,3.7289,0.0508,3.4219,4.0704,-1.8443,0.1092,-1.6876,23.9561,1.5938,1.0573,0.01997,1.99106
KAGGLE_001,11,2026-01-01T00:11:00,22.053,3.6684,0.0698,3.4363,4.0774,-1.8752,0.1046,-1.7209,23.7776,1.5343,0.889,0.01566,2.02289
KAGGLE_001,12,2026-01-01T00:12:00,21.978,3.6674,0.0677,3.4719,4.104,-1.7913,0.1071,-1.7479,26.3715,1.6643,0.2189,0.02516,1.97742
KAGGLE_001,13,2026-01-01T00:13:00,27.874,3.6611,0.0687,3.4305,4.094,-1.7505,0.1264,-1.6559,26.9084,1.6991,0.9935,0.02818,1.99554
KAGGLE_001,14,2026-01-01T00:14:00,21.444,3.7424,0.0659,3.4192,4.1078,-1.8201,0.124,-1.6523,23.9782,1.3185,0.7544,0.01784,1.9739
KAGGLE_001,15,2026-01-01T00:15:00,27.896,3.6828,0.0511,3.4796,4.1573,-1.7438,0.1387,-1.6614,23.837,1.3326,0.6236,0.02495,1.99928
KAGGLE_001,16,2026-01-01T00:16:00,25.086,3.7251,0.0629,3.4509,4.1199,-1.8057,0.1129,-1.7126,25.778,1.5863,0.6453,0.01903,1.96822
KAGGLE_001,17,2026-01-01T00:17:00,29.212,3.7084,0.0507,3.422,4.0903,-1.7419,0.1158,-1.7194,26.5548,1.5285,1.0419,0.02061,1.98556
KAGGLE_001,18,2026-01-01T00:18:00,21.343,3.6584,0.0589,3.4352,4.1284,-1.8056,0.1248,-1.7074,24.8702,1.4636,0.9241,0.01976,1.99172
KAGGLE_001,19,2026-01-01T00:19:00,21.796,3.6734,0.0629,3.4359,4.0782,-1.7452,0.1205,-1.6856,26.1435,1.6706,0.2886,0.01607,1.97882
KAGGLE_001,20,2026-01-01T00:20:00,22.003,3.6697,0.0566,3.4303,4.1516,-1.7706,0.111,-1.6794,26.992,1.6994,0.8771,0.0261,1.95537
KAGGLE_001,21,2026-01-01T00:21:00,20.085,3.6799,0.0664,3.4783,4.1104,-1.8151,0.1232,-1.6845,24.888,1.5051,0.885,0.01724,2.00501
KAGGLE_001,22,2026-01-01T00:22:00,22.269,3.7249,0.0595,3.4516,4.1486,-1.7588,0.1289,-1.7039,26.1677,1.4252,0.3691,0.02655,1.97132
KAGGLE_001,23,2026-01-01T00:23:00,22.096,3.695,0.0612,3.4375,4.1278,-1.8595,0.1377,-1.749,26.2416,1.6337,0.5058,0.02129,1.98655
KAGGLE_001,24,2026-01-01T00:24:00,24.034,3.7279,0.0608,3.4326,4.0723,-1.7543,0.1369,-1.7346,26.8106,1.4321,0.7669,0.02405,1.98303
KAGGLE_001,25,2026-01-01T00:25:00,28.669,3.748,0.0541,3.4391,4.1234,-1.8499,0.1043,-1.693,24.8061,1.6579,0.2839,0.01656,1.97557
KAGGLE_001,26,2026-01-01T00:26:00,20.321,3.7189,0.0598,3.4187,4.0769,-1.7259,0.1114,-1.7267,25.6383,1.328,0.2517,0.02278,1.96949
KAGGLE_001,27,2026-01-01T00:27:00,28.597,3.6911,0.0531,3.4111,4.1236,-1.8035,0.1028,-1.6545,26.4628,1.352,0.3851,0.02148,1.94384
KAGGLE_001,28,2026-01-01T00:28:00,24.748,3.7104,0.0688,3.4587,4.1202,-1.7704,0.111,-1.7493,23.5708,1.3256,0.5593,0.02711,1.97334
KAGGLE_001,29,2026-01-01T00:29:00,29.103,3.7379,0.0592,3.4576,4.1437,-1.8339,0.1352,-1.7044,25.8013,1.5847,0.4677,0.0242,1.95954
KAGGLE_001,30,2026-01-01T00:30:00,21.751,3.6749,0.068,3.4733,4.1158,-1.7343,0.1073,-1.6931,24.5742,1.6783,0.4157,0.02806,1.97382
KAGGLE_001,31,2026-01-01T00:31:00,26.281,3.6792,0.0683,3.4698,4.1422,-1.8452,0.1197,-1.6508,25.2113,1.6981,0.2689,0.01658,1.93888
KAGGLE_001,32,2026-01-01T00:32:00,23.26,3.6951,0.0551,3.4506,4.1162,-1.8683,0.1278,-1.675,24.5246,1.5984,0.9702,0.02095,1.96569
KAGGLE_001,33,2026-01-01T00:33:00,21.147,3.7417,0.0565,3.4749,4.1185,-1.8691,0.1219,-1.7258,26.8001,1.3561,0.9384,0.02762,1.91759
KAGGLE_001,34,2026-01-01T00:34:00,20.181,3.6601,0.0559,3.4535,4.1091,-1.8676,0.1305,-1.6823,23.614,1.4432,0.395,0.01552,1.92442
KAGGLE_001,35,2026-01-01T00:35:00,22.162,3.7197,0.0667,3.4812,4.1341,-1.7654,0.1359,-1.7109,24.2333,1.321,0.2042,0.02659,1.95194
KAGGLE_001,36,2026-01-01T00:36:00,29.288,3.6875,0.0548,3.4091,4.1122,-1.7217,0.1135,-1.7308,25.6758,1.3882,0.9941,0.02695,1.95472
KAGGLE_001,37,2026-01-01T00:37:00,21.679,3.6667,0.0583,3.4108,4.1027,-1.7901,0.1076,-1.7293,25.1668,1.6756,0.3087,0.01821,1.95578
KAGGLE_001,38,2026-01-01T00:38:00,21.736,3.6902,0.0563,3.4389,4.1159,-1.8694,0.1326,-1.685,24.4759,1.3269,0.3967,0.01952,1.92461
KAGGLE_001,39,2026-01-01T00:39:00,29.831,3.6602,0.0607,3.4991,4.155,-1.8526,0.1384,-1.69,26.9257,1.5785,0.8101,0.02959,1.93642
KAGGLE_001,40,2026-01-01T00:40:00,23.32,3.7135,0.0677,3.4318,4.1552,-1.8029,0.1134,-1.6891,25.3401,1.4529,0.7765,0.01849,1.93938
KAGGLE_001,41,2026-01-01T00:41:00,29.884,3.6733,0.0623,3.4897,4.1009,-1.7619,0.1303,-1.688,23.2397,1.4498,0.467,0.01728,1.93028
KAGGLE_001,42,2026-01-01T00:42:00,20.379,3.7423,0.062,3.4946,4.1439,-1.8274,0.1111,-1.6856,26.042,1.5083,1.0798,0.02472,1.90458
KAGGLE_001,43,2026-01-01T00:43:00,20.237,3.7347,0.0566,3.4242,4.1239,-1.7349,0.1266,-1.7252,25.7494,1.5878,0.7473,0.02072,1.9069
KAGGLE_001,44,2026-01-01T00:44:00,24.424,3.6506,0.0674,3.407,4.0892,-1.7785,0.1057,-1.7296,23.367,1.5371,0.9481,0.02898,1.90618
KAGGLE_001,45,2026-01-01T00:45:00,20.782,3.7225,0.0562,3.4722,4.0945,-1.8518,0.11,-1.7215,24.7931,1.5542,0.4447,0.02672,1.89835
KAGGLE_001,46,2026-01-01T00:46:00,29.726,3.6898,0.0534,3.4441,4.1205,-1.7624,0.1304,-1.668,26.1742,1.3079,0.5433,0.02781,1.88627
KAGGLE_001,47,2026-01-01T00:47:00,29.215,3.7095,0.0531,3.4727,4.0957,-1.8058,0.1181,-1.7125,25.4241,1.3288,0.323,0.02204,1.9243
KAGGLE_001,48,2026-01-01T00:48:00,21.896,3.6513,0.06,3.4725,4.1191,-1.7319,0.1376,-1.653,24.4926,1.4958,0.7769,0.02382,1.88535
KAGGLE_001,49,2026-01-01T00:49:00,20.388,3.7422,0.0577,3.4566,4.0894,-1.8102,0.1102,-1.6587,25.889,1.5038,0.6398,0.02533,1.8979
KAGGLE_001,50,2026-01-01T00:50:00,26.509,3.7427,0.0647,3.4242,4.0735,-1.7499,0.1252,-1.6824,25.7899,1.5581,0.4352,0.02183,1.91247
KAGGLE_001,51,2026-01-01T00:51:00,22.543,3.7102,0.069,3.4842,4.0712,-1.7566,0.1258,-1.6583,24.5907,1.5345,1.0109,0.02278,1.90886
KAGGLE_001,52,2026-01-01T00:52:00,24.229,3.733,0.0551,3.4302,4.1668,-1.7746,0.1153,-1.7192,24.6464,1.6506,0.8549,0.01633,1.87664
KAGGLE_001,53,2026-01-01T00:53:00,27.767,3.6844,0.0529,3.4749,4.163,-1.8163,0.1123,-1.6513,26.2656,1.3006,0.2629,0.02544,1.9008
KAGGLE_001,54,2026-01-01T00:54:00,26.545,3.7233,0.0534,3.4375,4.1404,-1.8483,0.1073,-1.6552,24.8026,1.6257,0.3671,0.01588,1.89146
KAGGLE_001,55,2026-01-01T00:55:00,27.592,3.6759,0.068,3.4409,4.1327,-1.7801,0.1347,-1.7334,24.1725,1.4511,0.4491,0.02013,1.86825
KAGGLE_001,56,2026-01-01T00:56:00,24.779,3.7173,0.052,3.4061,4.1452,-1.8788,0.1233,-1.6512,23.3874,1.5089,0.2065,0.02404,1.88976
KAGGLE_001,57,2026-01-01T00:57:00,27.614,3.7432,0.0595,3.4337,4.1129,-1.8207,0.1356,-1.6501,26.2674,1.6764,0.7986,0.02068,1.91117
KAGGLE_001,58,2026-01-01T00:58:00,23.56,3.683,0.052,3.4457,4.1398,-1.764,0.1355,-1.7361,25.4076,1.6476,0.4515,0.02549,1.85273
KAGGLE_001,59,2026-01-01T00:59:00,23.684,3.7118,0.0632,3.4475,4.1113,-1.8499,0.1394,-1.6542,26.2505,1.3067,0.5242,0.01569,1.89554
KAGGLE_001,60,2026-01-01T00:00:00,23.255,3.6944,0.0621,3.44,4.1313,-1.867,0.1171,-1.6569,26.7234,1.6947,0.9714,0.02858,1.89244
KAGGLE_001,61,2026-01-01T00:01:00,22.939,3.6695,0.0529,3.452,4.1272,-1.7429,0.1202,-1.7372,26.1873,1.4205,0.8058,0.02323,1.88539
KAGGLE_001,62,2026-01-01T00:02:00,21.681,3.6946,0.0523,3.4663,4.0941,-1.8461,0.1301,-1.684,23.3577,1.474,0.8442,0.0174,1.89118
KAGGLE_001,63,2026-01-01T00:03:00,29.026,3.7266,0.0544,3.4258,4.1176,-1.7364,0.1049,-1.7364,25.1382,1.5902,0.2814,0.02538,1.89179
KAGGLE_001,64,2026-01-01T00:04:00,29.318,3.7266,0.062,3.4644,4.1077,-1.7652,0.1294,-1.7118,25.5684,1.5248,0.9705,0.02713,1.88573
KAGGLE_001,65,2026-01-01T00:05:00,21.157,3.6588,0.0518,3.4741,4.1637,-1.7609,0.1046,-1.7132,26.4133,1.6816,0.7192,0.01503,1.84419
KAGGLE_001,66,2026-01-01T00:06:00,25.356,3.7347,0.0696,3.432,4.1065,-1.7713,0.1319,-1.698,25.4065,1.3889,0.5558,0.02307,1.83186
KAGGLE_001,67,2026-01-01T00:07:00,21.447,3.7443,0.0667,3.45,4.1156,-1.7838,0.1058,-1.6835,26.2052,1.5812,0.739,0.01963,1.85316
KAGGLE_001,68,2026-01-01T00:08:00,21.235,3.7497,0.0641,3.4478,4.1529,-1.8008,0.1282,-1.7123,26.9246,1.4333,0.9451,0.01816,1.88232
KAGGLE_001,69,2026-01-01T00:09:00,28.104,3.72,0.0511,3.4865,4.0879,-1.802,0.1157,-1.6516,25.637,1.6394,1.092,0.02322,1.86424
KAGGLE_001,70,2026-01-01T00:10:00,26.779,3.749,0.0652,3.4391,4.1228,-1.8347,0.1279,-1.7305,26.425,1.4575,0.3178,0.02628,1.83791
KAGGLE_001,71,2026-01-01T00:11:00,28.051,3.735,0.0642,3.4458,4.0864,-1.858,0.1278,-1.7209,23.5793,1.3873,0.8735,0.02603,1.84988
KAGGLE_001,72,2026-01-01T00:12:00,27.26,3.7076,0.0636,3.4988,4.0848,-1.7279,0.1171,-1.6658,26.7039,1.3384,1.0767,0.01769,1.81299
KAGGLE_001,73,2026-01-01T00:13:00,29.803,3.715,0.0619,3.497,4.1327,-1.8154,0.1014,-1.7259,24.9545,1.5752,1.0591,0.02479,1.81299
KAGGLE_001,74,2026-01-01T00:14:00,26.918,3.7295,0.0632,3.4778,4.1565,-1.776,0.111,-1.6847,24.4693,1.348,0.2744,0.02234,1.82976
KAGGLE_001,75,2026-01-01T00:15:00,25.097,3.6523,0.0615,3.4573,4.0974,-1.7607,0.1318,-1.7319,24.9368,1.5578,0.5903,0.02357,1.84477
