source_battery_id,cycle_number,voltage_mean,current_mean,temperature_mean,temperature_rise_rate,internal_resistance,capacity
KAGGLE_UNSEEN_FAULT_401,41,3.7062,-1.891,26.23,1.11,0.02428,2.0436
KAGGLE_UNSEEN_FAULT_401,42,3.7044,-1.892,26.26,1.12,0.02436,2.0407
KAGGLE_UNSEEN_FAULT_401,43,3.7026,-1.893,26.29,1.13,0.02444,2.0377
KAGGLE_UNSEEN_FAULT_401,44,3.7008,-1.894,26.32,1.14,0.02452,2.0348
KAGGLE_UNSEEN_FAULT_401,45,3.699,-1.895,26.35,1.15,0.0246,2.0319
KAGGLE_UNSEEN_FAULT_401,46,3.6972,-1.896,26.38,1.16,0.02468,2.0289
KAGGLE_UNSEEN_FAULT_401,47,3.6954,-1.897,26.41,1.17,0.02476,2.026
KAGGLE_UNSEEN_FAULT_401,48,3.6936,-1.898,26.44,1.18,0.02484,2.0231
KAGGLE_UNSEEN_FAULT_401,49,3.6918,-1.899,26.47,1.19,0.02492,2.0201
KAGGLE_UNSEEN_FAULT_401,50,3.69,-1.9,26.5,1.2,0.025,2.0172
KAGGLE_UNSEEN_FAULT_401,51,3.6882,-1.901,26.53,1.21,0.02508,2.0142
KAGGLE_UNSEEN_FAULT_401,52,3.6864,-1.902,26.56,1.22,0.02516,2.0112
KAGGLE_UNSEEN_FAULT_401,53,3.6846,-1.903,26.59,1.23,0.02524,2.0083
KAGGLE_UNSEEN_FAULT_401,54,3.6828,-1.904,26.62,1.24,0.02532,2.0053
KAGGLE_UNSEEN_FAULT_401,55,3.651,-1.905,44.65,6.05,0.0334,1.9924
KAGGLE_UNSEEN_FAULT_401,56,3.6492,-1.906,45.18,6.18,0.03448,1.9794
KAGGLE_UNSEEN_FAULT_401,57,3.6474,-1.907,45.71,6.31,0.03556,1.9664
KAGGLE_UNSEEN_FAULT_401,58,3.6456,-1.908,46.24,6.44,0.03664,1.9535
KAGGLE_UNSEEN_FAULT_401,59,3.6438,-1.909,46.77,6.57,0.03772,1.9405
KAGGLE_UNSEEN_FAULT_401,60,3.642,-1.91,47.3,6.7,0.0388,1.9275
